region,producto,precio_promedio_mxn,indice_inflacion_local,variacion_porcentual_mensual,costo_transporte_mxn
Centro,Huevo (Kg),42.73,6.7,0.53,10.14
Occidente,Frijol (Kg),43.04,5.51,5.94,19.39
Sur,Aceite (Litro),46.64,4.51,-0.95,5.56
Centro,Leche (Litro),50.2,5.63,0.12,12.51
Norte,Leche (Litro),53.48,3.09,0.92,17.54
Norte,Frijol (Kg),43.18,5.2,0.28,7.92
Norte,Frijol (Kg),56.96,5.46,0.04,21.46
Occidente,Leche (Litro),46.37,5.94,-0.74,9.7
Centro,Huevo (Kg),47.87,4.39,0.4,18.05
Sur,Tortilla (Kg),43.52,5.27,-0.45,13.1
Norte,Huevo (Kg),33.45,4.46,-1.06,16.92
Occidente,Aceite (Litro),53.3,5.4,1.88,7.15
Sur,Aceite (Litro),125.0,4.48,1.43,5.34
Norte,Huevo (Kg),46.31,4.87,0.2,23.19
Norte,Leche (Litro),48.4,4.4,0.39,10.39
Norte,Aceite (Litro),51.1,5.72,1.64,21.39
Centro,Huevo (Kg),38.62,5.89,0.39,24.99
Centro,Frijol (Kg),44.83,5.01,1.34,9.23
Centro,Aceite (Litro),52.77,5.23,-0.12,10.3
Norte,Huevo (Kg),40.47,4.04,2.12,18.26
Centro,Frijol (Kg),49.76,4.96,0.5,24.31
Norte,Tortilla (Kg),39.86,5.16,0.35,23.32
Norte,Aceite (Litro),50.8,7.3,-0.73,15.06
Centro,Aceite (Litro),47.79,4.31,0.46,20.9
Centro,Aceite (Litro),38.31,6.37,-0.5,7.71
Sur,Tortilla (Kg),54.99,6.0,-0.38,24.55
Norte,Aceite (Litro),43.59,5.42,-0.49,24.29
Centro,Leche (Litro),43.14,6.61,-0.63,8.27
Centro,Tortilla (Kg),49.2,5.5,4.4,10.99
Norte,Leche (Litro),54.89,5.51,2.16,7.0
Centro,Huevo (Kg),41.91,5.16,3.72,10.43
Norte,Frijol (Kg),48.37,6.18,-0.71,21.32
Norte,Huevo (Kg),50.57,6.08,0.22,12.57
Occidente,Huevo (Kg),52.16,4.7,-0.74,6.77
Occidente,Huevo (Kg),49.06,4.14,-0.41,11.84
Sur,Frijol (Kg),45.8,5.04,-0.55,24.63
Centro,Tortilla (Kg),43.03,4.56,1.97,17.59
Norte,Leche (Litro),48.52,5.15,-0.2,13.32
Sur,Huevo (Kg),41.57,6.19,1.63,8.33
Centro,Tortilla (Kg),30.47,4.83,0.87,24.72
Norte,Frijol (Kg),50.62,5.17,5.07,21.42
