continente_mas_vendido,genero,plataforma_principal,puntuacion_critica,ventas_millones
Asia,Aventura,PlayStation,76.6,0.88
Europa,Deportes,Xbox,66.1,1.32
Europa,Estrategia,PC,86.4,1.05
Europa,Aventura,Mobile,75.3,10.48
Europa,Shooter,Mobile,72.1,10.23
Europa,Estrategia,Nintendo,12.0,3.4
Europa,Estrategia,PlayStation,86.9,9.139999999999999
América del Norte,Aventura,PC,79.1,5.489999999999999
Europa,RPG,PlayStation,66.7,3.22
América del Norte,Shooter,PC,81.7,155.0
Europa,Aventura,Nintendo,70.6,5.279999999999999
Europa,Shooter,Nintendo,60.8,4.34
Europa,Shooter,Mobile,90.0,3.44
Asia,Estrategia,PlayStation,81.7,5.1
América del Norte,Deportes,Mobile,77.4,2.62
Asia,Shooter,PlayStation,75.2,4.359999999999999
América del Norte,Carreras,Mobile,89.2,9.68
Europa,Estrategia,Xbox,100.0,1.75
América del Sur,RPG,Xbox,81.6,4.409999999999999
América del Norte,Deportes,Xbox,69.8,2.36
Europa,Carreras,Xbox,76.8,4.03
Europa,Carreras,PC,81.4,5.14
Europa,RPG,Xbox,59.2,0.26
América del Norte,Deportes,Nintendo,80.7,3.74
América del Norte,Estrategia,Nintendo,81.5,1.0
América del Sur,Acción,PC,88.6,3.98
Europa,Deportes,Xbox,87.8,2.31
América del Norte,RPG,Xbox,78.9,5.3
Europa,Carreras,Xbox,90.1,0.56
Asia,Estrategia,Mobile,94.3,3.5500000000000003
América del Norte,Deportes,PlayStation,78.2,1.24
Europa,Acción,Mobile,81.3,6.81
Europa,Acción,PlayStation,63.9,9.33
América del Sur,Shooter,Xbox,66.4,19.790000000000003
América del Norte,Shooter,Xbox,71.3,5.659999999999999
Europa,Aventura,Mobile,74.5,5.0
Europa,RPG,Mobile,69.2,0.95
Europa,Deportes,PlayStation,77.7,1.53
Europa,Deportes,Nintendo,74.7,2.29
Europa,Aventura,PlayStation,86.6,5.3
Asia,Carreras,Mobile,74.2,8.73
Asia,Carreras,Mobile,59.7,0.83
Europa,Aventura,PC,79.0,9.049999999999999
América del Sur,Carreras,Mobile,77.9,4.26
Europa,Shooter,PC,71.1,3.4
Europa,Deportes,Nintendo,78.8,0.88
América del Norte,Aventura,PlayStation,69.4,0.30000000000000004
Oceanía,Deportes,PlayStation,80.6,3.04
América del Norte,Acción,PC,99.1,3.79
América del Norte,Shooter,PlayStation,63.6,0.9299999999999999
América del Norte,Estrategia,Mobile,73.9,2.95
Europa,Shooter,Xbox,72.6,6.89
América del Norte,Aventura,PC,74.5,6.409999999999999
América del Norte,Estrategia,PlayStation,86.2,9.28
América del Norte,Acción,PC,82.3,1.6900000000000002
América del Norte,Aventura,PC,84.8,1.4400000000000002
Europa,RPG,Xbox,78.2,4.9399999999999995
Asia,Deportes,Mobile,67.4,2.07
Europa,Acción,PC,69.1,0.42000000000000004
Europa,Deportes,PlayStation,84.0,1.26
Asia,Carreras,Nintendo,79.4,2.0
América del Norte,RPG,PC,88.1,1.31
América del Norte,RPG,PC,80.3,1.51
Oceanía,Acción,Xbox,68.5,1.32
Europa,RPG,Mobile,73.8,0.25
América del Norte,Estrategia,Nintendo,82.5,3.65
Europa,RPG,PlayStation,83.7,3.2800000000000002
América del Norte,Deportes,Nintendo,84.8,3.81
Europa,Deportes,PlayStation,69.6,0.85
América del Norte,Aventura,Mobile,68.4,1.33
América del Norte,Deportes,PlayStation,76.5,3.48
América del Norte,Aventura,Xbox,89.5,3.3000000000000003
América del Sur,Deportes,Xbox,72.4,2.5700000000000003
Asia,Estrategia,Xbox,81.6,1.61
América del Norte,Aventura,Xbox,81.6,8.639999999999999
América del Norte,Shooter,Nintendo,84.1,1.55
Asia,Carreras,Mobile,91.3,2.23
América del Norte,Acción,PlayStation,90.5,4.07
América del Norte,Deportes,PlayStation,73.2,2.8400000000000003
Oceanía,RPG,Xbox,61.2,1.59
América del Norte,Deportes,Xbox,72.6,2.1
Asia,RPG,PC,78.6,5.64
Oceanía,Carreras,Mobile,75.1,1.24
Europa,Carreras,Nintendo,93.7,0.64
América del Norte,Carreras,PlayStation,78.2,1.4100000000000001
América del Norte,RPG,PC,83.2,6.7299999999999995
Asia,Deportes,PC,79.7,0.43000000000000005
América del Sur,Carreras,PlayStation,75.2,16.87
Asia,Estrategia,Nintendo,62.6,2.83
América del Norte,Aventura,PC,77.4,14.76
Asia,RPG,PC,100.0,9.889999999999999
América del Sur,RPG,Mobile,68.0,2.21
Europa,Deportes,Nintendo,63.5,0.87
América del Sur,RPG,PC,93.5,0.73
Asia,RPG,Nintendo,83.9,1.06
Asia,Carreras,PlayStation,79.5,4.43
Europa,Deportes,Xbox,88.9,1.2200000000000002
América del Norte,Carreras,PC,71.3,1.56
América del Norte,Aventura,Mobile,77.1,2.18
Europa,Aventura,PlayStation,85.6,8.66
América del Norte,Carreras,Nintendo,94.9,0.83
América del Sur,Aventura,PlayStation,68.7,0.12000000000000001
Oceanía,Deportes,PC,88.2,0.32
Asia,Acción,Nintendo,81.1,8.33
América del Norte,Carreras,Xbox,79.3,3.75
América del Norte,Estrategia,PlayStation,77.9,1.2200000000000002
América del Norte,Estrategia,PC,66.9,0.78
Asia,RPG,Mobile,85.7,1.32
Asia,Aventura,Nintendo,71.7,0.53
América del Sur,Estrategia,PlayStation,69.4,10.04
Europa,RPG,PlayStation,85.1,5.47
América del Sur,Acción,Xbox,84.3,2.27
América del Sur,Deportes,Xbox,78.6,7.109999999999999
América del Norte,Deportes,Mobile,86.6,1.1
